district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Deputy Mayor Pro Tem,2024-10-09,2024-12-11,295
12,Cara Mendelsohn,Councilmember,2024-10-09,2024-12-11,295
4,Carolyn King Arnold,Councilmember,2024-10-09,2024-12-11,295
1,Chad West,Councilmember,2024-10-09,2024-12-11,295
15,Eric Johnson,Mayor,2024-10-09,2024-12-11,295
13,Gay Donnell Willis,Councilmember,2024-10-09,2024-12-11,295
5,Jaime Resendez,Councilmember,2024-10-09,2024-12-11,295
11,Jaynie Shultz,Councilmember,2024-10-09,2024-12-11,295
2,Jesse Moreno,Councilmember,2024-10-09,2024-12-11,295
10,Kathy Stewart,Councilmember,2024-10-09,2024-12-11,295
6,Omar Narvaez,Councilmember,2024-10-09,2024-12-11,295
14,Paul Ridley,Councilmember,2024-10-09,2024-12-11,295
9,Paula Blackmon,Councilmember,2024-10-09,2024-12-11,295
8,Tennell  Atkins,Mayor Pro Tem,2024-10-09,2024-12-11,295
3,Zarin Gracey,Councilmember,2024-10-09,2024-12-11,295
