district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2024-01-10,2024-03-27,270
12,Cara Mendelsohn,Councilmember,2024-01-10,2024-03-27,270
4,Carolyn King Arnold,Deputy Mayor Pro Tem,2024-01-10,2024-03-27,270
1,Chad West,Councilmember,2024-01-10,2024-03-27,270
15,Eric Johnson,Mayor,2024-01-10,2024-03-27,270
13,Gay Donnell Willis,Councilmember,2024-01-10,2024-03-27,270
5,Jaime Resendez,Councilmember,2024-01-10,2024-03-27,270
11,Jaynie Shultz,Councilmember,2024-01-10,2024-03-27,270
2,Jesse Moreno,Councilmember,2024-01-10,2024-03-27,270
10,Kathy Stewart,Councilmember,2024-01-10,2024-03-27,270
6,Omar Narvaez,Councilmember,2024-01-10,2024-03-27,270
14,Paul Ridley,Councilmember,2024-01-10,2024-03-27,270
9,Paula Blackmon,Councilmember,2024-01-10,2024-03-27,270
8,Tennell  Atkins,Mayor Pro Tem,2024-01-10,2024-03-27,270
3,Zarin Gracey,Councilmember,2024-01-10,2024-03-27,270
