district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2023-10-11,2023-12-13,261
12,Cara Mendelsohn,Councilmember,2023-10-11,2023-12-13,261
4,Carolyn King Arnold,Deputy Mayor Pro Tem,2023-10-11,2023-12-13,261
1,Chad West,Councilmember,2023-10-11,2023-12-13,261
15,Eric Johnson,Mayor,2023-10-11,2023-12-13,261
13,Gay Donnell Willis,Councilmember,2023-10-11,2023-12-13,261
5,Jaime Resendez,Councilmember,2023-10-11,2023-12-13,261
11,Jaynie Shultz,Councilmember,2023-10-11,2023-12-13,261
2,Jesse Moreno,Councilmember,2023-10-11,2023-12-13,261
10,Kathy Stewart,Councilmember,2023-10-11,2023-12-13,261
6,Omar Narvaez,Councilmember,2023-10-11,2023-12-13,261
14,Paul Ridley,Councilmember,2023-10-11,2023-12-13,261
9,Paula Blackmon,Councilmember,2023-10-11,2023-12-13,261
8,Tennell  Atkins,Mayor Pro Tem,2023-10-11,2023-12-13,261
3,Zarin Gracey,Councilmember,2023-10-11,2023-12-13,261
