district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2022-08-10,2022-09-28,327
10,Adam McGough,Councilmember,2022-08-10,2022-09-28,327
12,Cara Mendelsohn,Councilmember,2022-08-10,2022-09-28,327
4,Carolyn King  Arnold,Mayor Pro Tem,2022-08-10,2022-09-28,327
3,Casey Thomas II,Councilmember,2022-08-10,2022-09-28,327
1,Chad West,Councilmember,2022-08-10,2022-09-28,327
15,Eric Johnson,Mayor,2022-08-10,2022-09-28,327
13,Gay Donnell Willis,Councilmember,2022-08-10,2022-09-28,327
5,Jaime Resendez,Councilmember,2022-08-10,2022-09-28,327
11,Jaynie Shultz,Councilmember,2022-08-10,2022-09-28,327
2,Jesse Moreno,Councilmember,2022-08-10,2022-09-28,327
6,Omar Narvaez,Deputy Mayor Pro Tem,2022-08-10,2022-09-28,327
14,Paul Ridley,Councilmember,2022-08-10,2022-09-28,327
9,Paula Blackmon,Councilmember,2022-08-10,2022-09-28,327
8,Tennell Atkins,Councilmember,2022-08-10,2022-09-28,327
