district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2023-08-09,2023-09-27,299
12,Cara Mendelsohn,Councilmember,2023-08-09,2023-09-27,299
4,Carolyn King Arnold,Deputy Mayor Pro Tem,2023-08-09,2023-09-27,299
1,Chad West,Councilmember,2023-08-09,2023-09-27,299
15,Eric Johnson,Mayor,2023-08-09,2023-09-27,299
13,Gay Donnell Willis,Councilmember,2023-08-09,2023-09-27,299
5,Jaime Resendez,Councilmember,2023-08-09,2023-09-27,299
11,Jaynie Shultz,Councilmember,2023-08-09,2023-09-27,299
2,Jesse Moreno,Councilmember,2023-08-09,2023-09-27,299
10,Kathy Stewart,Councilmember,2023-08-09,2023-09-27,299
6,Omar Narvaez,Councilmember,2023-08-09,2023-09-27,299
14,Paul Ridley,Councilmember,2023-08-09,2023-09-27,299
9,Paula Blackmon,Councilmember,2023-08-09,2023-09-27,299
8,Tennell  Atkins,Mayor Pro Tem,2023-08-09,2023-09-27,299
3,Zarin Gracey,Councilmember,2023-08-09,2023-09-27,299
