district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Deputy Mayor Pro Tem,2024-08-07,2024-09-25,386
12,Cara Mendelsohn,Councilmember,2024-08-07,2024-09-25,386
4,Carolyn King Arnold,Councilmember,2024-08-07,2024-09-25,386
1,Chad West,Councilmember,2024-08-07,2024-09-25,386
15,Eric Johnson,Mayor,2024-08-07,2024-09-25,386
13,Gay Donnell Willis,Councilmember,2024-08-07,2024-09-25,386
5,Jaime Resendez,Councilmember,2024-08-07,2024-09-25,386
11,Jaynie Shultz,Councilmember,2024-08-07,2024-09-25,386
2,Jesse Moreno,Councilmember,2024-08-07,2024-09-25,386
10,Kathy Stewart,Councilmember,2024-08-07,2024-09-25,386
6,Omar Narvaez,Councilmember,2024-08-07,2024-09-25,386
14,Paul Ridley,Councilmember,2024-08-07,2024-09-25,386
9,Paula Blackmon,Councilmember,2024-08-07,2024-09-25,386
8,Tennell  Atkins,Mayor Pro Tem,2024-08-07,2024-09-25,386
3,Zarin Gracey,Councilmember,2024-08-07,2024-09-25,386
