district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2022-10-12,2022-12-14,263
10,Adam McGough,Councilmember,2022-10-12,2022-12-14,263
12,Cara Mendelsohn,Councilmember,2022-10-12,2022-12-14,263
4,Carolyn King  Arnold,Mayor Pro Tem,2022-10-12,2022-12-14,263
3,Casey Thomas II,Councilmember,2022-10-12,2022-12-14,263
1,Chad West,Councilmember,2022-10-12,2022-12-14,263
15,Eric Johnson,Mayor,2022-10-12,2022-12-14,263
13,Gay Donnell Willis,Councilmember,2022-10-12,2022-12-14,263
5,Jaime Resendez,Councilmember,2022-10-12,2022-12-14,263
11,Jaynie Shultz,Councilmember,2022-10-12,2022-12-14,263
2,Jesse Moreno,Councilmember,2022-10-12,2022-12-14,263
6,Omar Narvaez,Deputy Mayor Pro Tem,2022-10-12,2022-12-14,263
14,Paul Ridley,Councilmember,2022-10-12,2022-12-14,263
9,Paula Blackmon,Councilmember,2022-10-12,2022-12-14,263
8,Tennell Atkins,Councilmember,2022-10-12,2022-12-14,263
