district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2020-08-05,2020-09-23,320
7,Adam Bazaldua,Councilmember,2020-08-05,2020-09-23,320
10,B. Adam McGough,Deputy Mayor Pro Tem,2020-08-05,2020-09-23,320
12,Cara Mendelsohn,Councilmember,2020-08-05,2020-09-23,320
4,Carolyn King Arnold,Councilmember,2020-08-05,2020-09-23,320
3,Casey Thomas II,Councilmember,2020-08-05,2020-09-23,320
1,Chad West,Councilmember,2020-08-05,2020-09-23,320
14,David Blewett,Councilmember,2020-08-05,2020-09-23,320
15,Eric Johnson,Mayor,2020-08-05,2020-09-23,320
5,Jaime Resendez,Councilmember,2020-08-05,2020-09-23,320
13,Jennifer S.  Gates,Councilmember,2020-08-05,2020-09-23,320
11,Lee M. Kleinman,Councilmember,2020-08-05,2020-09-23,320
6,Omar Narvaez,Councilmember,2020-08-05,2020-09-23,320
9,Paula Blackmon,Councilmember,2020-08-05,2020-09-23,320
8,Tennell Atkins,Councilmember,2020-08-05,2020-09-23,320
