district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2021-01-06,2021-03-24,393
7,Adam Bazaldua,Councilmember,2021-01-06,2021-03-24,393
10,B. Adam McGough,Deputy Mayor Pro Tem,2021-01-06,2021-03-24,393
12,Cara Mendelsohn,Councilmember,2021-01-06,2021-03-24,393
4,Carolyn King Arnold,Councilmember,2021-01-06,2021-03-24,393
3,Casey Thomas II,Councilmember,2021-01-06,2021-03-24,393
1,Chad West,Councilmember,2021-01-06,2021-03-24,393
14,David Blewett,Councilmember,2021-01-06,2021-03-24,393
15,Eric Johnson,Mayor,2021-01-06,2021-03-24,393
5,Jaime Resendez,Councilmember,2021-01-06,2021-03-24,393
13,Jennifer S.  Gates,Councilmember,2021-01-06,2021-03-24,393
11,Lee M. Kleinman,Councilmember,2021-01-06,2021-03-24,393
6,Omar Narvaez,Councilmember,2021-01-06,2021-03-24,393
9,Paula Blackmon,Councilmember,2021-01-06,2021-03-24,393
8,Tennell Atkins,Councilmember,2021-01-06,2021-03-24,393
