district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2020-01-08,2020-03-25,321
7,Adam Bazaldua,Councilmember,2020-01-08,2020-03-25,321
10,B. Adam McGough,Deputy Mayor Pro Tem,2020-01-08,2020-03-25,321
12,Cara Mendelsohn,Councilmember,2020-01-08,2020-03-25,321
4,Carolyn King Arnold,Councilmember,2020-01-08,2020-03-25,321
3,Casey Thomas II,Councilmember,2020-01-08,2020-03-25,321
1,Chad West,Councilmember,2020-01-08,2020-03-25,321
14,David Blewett,Councilmember,2020-01-08,2020-03-25,321
15,Eric Johnson,Mayor,2020-01-08,2020-03-25,321
5,Jaime Resendez,Councilmember,2020-01-08,2020-03-25,321
13,Jennifer S.  Gates,Councilmember,2020-01-08,2020-03-25,321
11,Lee M. Kleinman,Councilmember,2020-01-08,2020-03-25,321
6,Omar Narvaez,Councilmember,2020-01-08,2020-03-25,321
9,Paula Blackmon,Councilmember,2020-01-08,2020-03-25,321
8,Tennell Atkins,Councilmember,2020-01-08,2020-03-25,321
