district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2021-08-04,2021-09-22,355
10,Adam McGough,Councilmember,2021-08-04,2021-09-22,355
12,Cara Mendelsohn,Councilmember,2021-08-04,2021-09-22,355
4,Carolyn King Arnold,Councilmember,2021-08-04,2021-09-22,355
3,Casey Thomas II,Councilmember,2021-08-04,2021-09-22,355
1,Chad West,Mayor Pro Tem,2021-08-04,2021-09-22,355
15,Eric Johnson,Mayor,2021-08-04,2021-09-22,355
13,Gay Donnell Willis,Councilmember,2021-08-04,2021-09-22,355
5,Jaime Resendez,Deputy Mayor Pro Tem,2021-08-04,2021-09-22,355
11,Jaynie Shultz,Councilmember,2021-08-04,2021-09-22,355
2,Jesse Moreno,Councilmember,2021-08-04,2021-09-22,355
6,Omar Narvaez,Councilmember,2021-08-04,2021-09-22,355
14,Paul Ridley,Councilmember,2021-08-04,2021-09-22,355
9,Paula Blackmon,Councilmember,2021-08-04,2021-09-22,355
8,Tennell Atkins,Councilmember,2021-08-04,2021-09-22,355
