district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Deputy Mayor Pro Tem,2025-01-08,2025-03-26,376
12,Cara Mendelsohn,Councilmember,2025-01-08,2025-03-26,376
4,Carolyn King Arnold,Councilmember,2025-01-08,2025-03-26,376
1,Chad West,Councilmember,2025-01-08,2025-03-26,376
15,Eric Johnson,Mayor,2025-01-08,2025-03-26,376
13,Gay Donnell Willis,Councilmember,2025-01-08,2025-03-26,376
5,Jaime Resendez,Councilmember,2025-01-08,2025-03-26,376
11,Jaynie Shultz,Councilmember,2025-01-08,2025-03-26,376
2,Jesse Moreno,Councilmember,2025-01-08,2025-03-26,376
10,Kathy Stewart,Councilmember,2025-01-08,2025-03-26,376
6,Omar Narvaez,Councilmember,2025-01-08,2025-03-26,376
14,Paul Ridley,Councilmember,2025-01-08,2025-03-26,376
9,Paula Blackmon,Councilmember,2025-01-08,2025-03-26,376
8,Tennell  Atkins,Mayor Pro Tem,2025-01-08,2025-03-26,376
3,Zarin Gracey,Councilmember,2025-01-08,2025-03-26,376
