district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2022-01-05,2022-03-09,314
10,Adam McGough,Councilmember,2022-01-05,2022-03-09,314
12,Cara Mendelsohn,Councilmember,2022-01-05,2022-03-09,314
4,Carolyn King Arnold,Councilmember,2022-01-05,2022-03-09,314
3,Casey Thomas II,Councilmember,2022-01-05,2022-03-09,314
1,Chad West,Mayor Pro Tem,2022-01-05,2022-03-09,314
15,Eric Johnson,Mayor,2022-01-05,2022-03-09,314
13,Gay Donnell Willis,Councilmember,2022-01-05,2022-03-09,314
5,Jaime Resendez,Deputy Mayor Pro Tem,2022-01-05,2022-03-09,314
11,Jaynie Shultz,Councilmember,2022-01-05,2022-03-09,314
2,Jesse Moreno,Councilmember,2022-01-05,2022-03-09,314
6,Omar Narvaez,Councilmember,2022-01-05,2022-03-09,314
14,Paul Ridley,Councilmember,2022-01-05,2022-03-09,314
9,Paula Blackmon,Councilmember,2022-01-05,2022-03-09,314
8,Tennell Atkins,Councilmember,2022-01-05,2022-03-09,314
