district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2022-04-06,2022-06-27,404
10,Adam McGough,Councilmember,2022-04-06,2022-06-27,404
12,Cara Mendelsohn,Councilmember,2022-04-06,2022-06-27,404
4,Carolyn King  Arnold,Mayor Pro Tem,2022-06-27,2022-06-27,1
4,Carolyn King Arnold,Councilmember,2022-04-06,2022-06-22,403
3,Casey Thomas II,Councilmember,2022-04-06,2022-06-27,404
1,Chad West,Mayor Pro Tem,2022-04-06,2022-06-27,404
15,Eric Johnson,Mayor,2022-04-06,2022-06-27,404
13,Gay Donnell Willis,Councilmember,2022-04-06,2022-06-27,404
5,Jaime Resendez,Deputy Mayor Pro Tem,2022-04-06,2022-06-27,404
11,Jaynie Shultz,Councilmember,2022-04-06,2022-06-27,404
2,Jesse Moreno,Councilmember,2022-04-06,2022-06-27,404
6,Omar Narvaez,Councilmember,2022-04-06,2022-06-27,404
14,Paul Ridley,Councilmember,2022-04-06,2022-06-27,404
9,Paula Blackmon,Councilmember,2022-04-06,2022-06-27,404
8,Tennell Atkins,Councilmember,2022-04-06,2022-06-27,404
