district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2025-08-06,2025-09-24,350
12,Cara Mendelsohn,Councilmember,2025-08-06,2025-09-24,350
1,Chad West,Councilmember,2025-08-06,2025-09-24,350
15,Eric Johnson,Mayor,2025-08-06,2025-09-24,350
13,Gay Donnell Willis,Deputy Mayor Pro Tem,2025-08-06,2025-09-24,350
5,Jaime Resendez,Councilmember,2025-08-06,2025-09-24,350
2,Jesse  Moreno,Mayor Pro Tem,2025-08-06,2025-09-24,350
10,Kathy Stewart,Councilmember,2025-08-06,2025-09-24,350
6,Laura Cadena,Councilmember,2025-08-06,2025-09-24,350
8,Lorie Blair,Councilmember,2025-08-06,2025-09-24,350
4,Maxie Johnson,Councilmember,2025-08-06,2025-09-24,350
14,Paul Ridley,Councilmember,2025-08-06,2025-09-24,350
9,Paula Blackmon,Councilmember,2025-08-06,2025-09-24,350
11,William Roth,Councilmember,2025-08-06,2025-09-24,350
3,Zarin D. Gracey,Councilmember,2025-08-06,2025-09-24,350
