district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2025-10-01,2025-12-10,236
12,Cara Mendelsohn,Councilmember,2025-10-01,2025-12-10,236
1,Chad West,Councilmember,2025-10-01,2025-12-10,236
15,Eric Johnson,Mayor,2025-10-01,2025-12-10,236
13,Gay Donnell Willis,Deputy Mayor Pro Tem,2025-10-01,2025-12-10,236
5,Jaime Resendez,Councilmember,2025-10-01,2025-12-10,236
2,Jesse  Moreno,Mayor Pro Tem,2025-10-01,2025-12-10,236
10,Kathy Stewart,Councilmember,2025-10-01,2025-12-10,236
6,Laura Cadena,Councilmember,2025-10-01,2025-12-10,236
8,Lorie Blair,Councilmember,2025-10-01,2025-12-10,236
4,Maxie Johnson,Councilmember,2025-10-01,2025-12-10,236
14,Paul Ridley,Councilmember,2025-10-01,2025-12-10,236
9,Paula Blackmon,Councilmember,2025-10-01,2025-12-10,236
11,William Roth,Councilmember,2025-10-01,2025-12-10,236
3,Zarin D. Gracey,Councilmember,2025-10-01,2025-12-10,236
