district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2021-10-05,2021-12-08,317
10,Adam McGough,Councilmember,2021-10-05,2021-12-08,317
12,Cara Mendelsohn,Councilmember,2021-10-05,2021-12-08,317
4,Carolyn King Arnold,Councilmember,2021-10-05,2021-12-08,317
3,Casey Thomas II,Councilmember,2021-10-05,2021-12-08,317
1,Chad West,Mayor Pro Tem,2021-10-05,2021-12-08,317
15,Eric Johnson,Mayor,2021-10-05,2021-12-08,317
13,Gay Donnell Willis,Councilmember,2021-10-05,2021-12-08,317
5,Jaime Resendez,Deputy Mayor Pro Tem,2021-10-05,2021-12-08,317
11,Jaynie Shultz,Councilmember,2021-10-05,2021-12-08,317
2,Jesse Moreno,Councilmember,2021-10-05,2021-12-08,317
6,Omar Narvaez,Councilmember,2021-10-05,2021-12-08,317
14,Paul Ridley,Councilmember,2021-10-05,2021-12-08,317
9,Paula Blackmon,Councilmember,2021-10-05,2021-12-08,317
8,Tennell Atkins,Councilmember,2021-10-05,2021-12-08,317
