district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2020-04-01,2020-06-24,225
7,Adam Bazaldua,Councilmember,2020-04-01,2020-06-24,225
10,B. Adam McGough,Deputy Mayor Pro Tem,2020-04-01,2020-06-24,225
12,Cara Mendelsohn,Councilmember,2020-04-01,2020-06-24,225
4,Carolyn King Arnold,Councilmember,2020-04-01,2020-06-24,225
3,Casey Thomas II,Councilmember,2020-04-01,2020-06-24,225
1,Chad West,Councilmember,2020-04-01,2020-06-24,225
14,David Blewett,Councilmember,2020-04-01,2020-06-24,225
15,Eric Johnson,Mayor,2020-04-01,2020-06-24,225
5,Jaime Resendez,Councilmember,2020-04-01,2020-06-24,225
13,Jennifer S.  Gates,Councilmember,2020-04-01,2020-06-24,225
11,Lee M. Kleinman,Councilmember,2020-04-01,2020-06-24,225
6,Omar Narvaez,Councilmember,2020-04-01,2020-06-24,225
9,Paula Blackmon,Councilmember,2020-04-01,2020-06-24,225
8,Tennell Atkins,Councilmember,2020-04-01,2020-06-24,225
