district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Deputy Mayor Pro Tem,2025-04-02,2025-06-25,461
12,Cara Mendelsohn,Councilmember,2025-04-02,2025-06-25,461
4,Carolyn Arnold,Councilmember,2025-06-16,2025-06-16,1
4,Carolyn King Arnold,Councilmember,2025-04-02,2025-06-11,365
1,Chad West,Councilmember,2025-04-02,2025-06-25,461
15,Eric Johnson,Mayor,2025-04-02,2025-06-25,461
13,Gay Donnel Willis,Councilmember,2025-06-16,2025-06-16,1
13,Gay Donnell Willis,Councilmember,2025-04-02,2025-06-25,460
5,Jaime Resendez,Councilmember,2025-04-02,2025-06-25,461
11,Jaynie Schultz,Councilmember,2025-06-16,2025-06-16,1
11,Jaynie Shultz,Councilmember,2025-04-02,2025-06-11,365
2,Jesse  Moreno,Mayor Pro Tem,2025-06-18,2025-06-25,95
2,Jesse Moreno,Councilmember,2025-04-02,2025-06-16,366
10,Kathy Stewart,Councilmember,2025-04-02,2025-06-25,461
6,Laura Cadena,Councilmember,2025-06-18,2025-06-25,95
8,Lorie Blair,Councilmember,2025-06-18,2025-06-25,95
4,Maxie Johnson,Councilmember,2025-06-18,2025-06-25,95
6,Omar Narvaez,Councilmember,2025-04-02,2025-06-16,366
14,Paul Ridley,Councilmember,2025-04-02,2025-06-25,461
9,Paula Blackmon,Councilmember,2025-04-02,2025-06-25,461
8,Tennel Atkins,Mayor Pro Tem,2025-06-16,2025-06-16,1
8,Tennell  Atkins,Mayor Pro Tem,2025-04-02,2025-06-11,365
11,William Roth,Councilmember,2025-06-18,2025-06-25,95
3,Zarin D. Gracey,Councilmember,2025-06-18,2025-06-25,95
3,Zarin Gracey,Councilmember,2025-04-02,2025-06-16,366
