district,voter_name,title,first_seen,last_seen,vote_count
7,Adam Bazaldua,Councilmember,2023-01-11,2023-03-08,259
10,Adam McGough,Councilmember,2023-01-11,2023-03-08,259
12,Cara Mendelsohn,Councilmember,2023-01-11,2023-03-08,259
4,Carolyn King  Arnold,Mayor Pro Tem,2023-01-11,2023-03-08,259
3,Casey Thomas II,Councilmember,2023-01-11,2023-03-08,259
1,Chad West,Councilmember,2023-01-11,2023-03-08,259
15,Eric Johnson,Mayor,2023-01-11,2023-03-08,259
13,Gay Donnell Willis,Councilmember,2023-01-11,2023-03-08,259
5,Jaime Resendez,Councilmember,2023-01-11,2023-03-08,259
11,Jaynie Shultz,Councilmember,2023-01-11,2023-03-08,259
2,Jesse Moreno,Councilmember,2023-01-11,2023-03-08,259
6,Omar Narvaez,Deputy Mayor Pro Tem,2023-01-11,2023-03-08,259
14,Paul Ridley,Councilmember,2023-01-11,2023-03-08,259
9,Paula Blackmon,Councilmember,2023-01-11,2023-03-08,259
8,Tennell Atkins,Councilmember,2023-01-11,2023-03-08,259
