district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2024-04-03,2024-06-26,362
12,Cara Mendelsohn,Councilmember,2024-04-03,2024-06-26,362
4,Carolyn King Arnold,Deputy Mayor Pro Tem,2024-04-03,2024-06-26,362
1,Chad West,Councilmember,2024-04-03,2024-06-26,362
15,Eric Johnson,Mayor,2024-04-03,2024-06-26,362
13,Gay Donnell Willis,Councilmember,2024-04-03,2024-06-26,362
5,Jaime Resendez,Councilmember,2024-04-03,2024-06-26,362
11,Jaynie Shultz,Councilmember,2024-04-03,2024-06-26,362
2,Jesse Moreno,Councilmember,2024-04-03,2024-06-26,362
10,Kathy Stewart,Councilmember,2024-04-03,2024-06-26,362
6,Omar Narvaez,Councilmember,2024-04-03,2024-06-26,362
14,Paul Ridley,Councilmember,2024-04-03,2024-06-26,362
9,Paula Blackmon,Councilmember,2024-04-03,2024-06-26,362
8,Tennell  Atkins,Mayor Pro Tem,2024-04-03,2024-06-26,362
3,Zarin Gracey,Councilmember,2024-04-03,2024-06-26,362
