district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2020-10-07,2020-12-09,337
7,Adam Bazaldua,Councilmember,2020-10-07,2020-12-09,337
10,B. Adam McGough,Deputy Mayor Pro Tem,2020-10-07,2020-12-09,337
12,Cara Mendelsohn,Councilmember,2020-10-07,2020-12-09,337
4,Carolyn King Arnold,Councilmember,2020-10-07,2020-12-09,337
3,Casey Thomas II,Councilmember,2020-10-07,2020-12-09,337
1,Chad West,Councilmember,2020-10-07,2020-12-09,337
14,David Blewett,Councilmember,2020-10-07,2020-12-09,337
15,Eric Johnson,Mayor,2020-10-07,2020-12-09,337
5,Jaime Resendez,Councilmember,2020-10-07,2020-12-09,337
13,Jennifer S.  Gates,Councilmember,2020-10-07,2020-12-09,337
11,Lee M. Kleinman,Councilmember,2020-10-07,2020-12-09,337
6,Omar Narvaez,Councilmember,2020-10-07,2020-12-09,337
9,Paula Blackmon,Councilmember,2020-10-07,2020-12-09,337
8,Tennell Atkins,Councilmember,2020-10-07,2020-12-09,337
