district,voter_name,title,first_seen,last_seen,vote_count
7,Adam  Bazaldua,Councilmember,2023-06-14,2023-06-21,85
7,Adam Bazaldua,Councilmember,2023-04-04,2023-06-14,261
10,Adam McGough,Councilmember,2023-04-04,2023-06-14,261
12,Cara Mendelsohn,Councilmember,2023-04-04,2023-06-21,346
4,Carolyn King  Arnold,Mayor Pro Tem,2023-04-04,2023-06-14,261
4,Carolyn King Arnold,Deputy Mayor Pro Tem,2023-06-14,2023-06-21,85
3,Casey Thomas II,Councilmember,2023-04-04,2023-06-14,261
1,Chad West,Councilmember,2023-04-04,2023-06-21,346
15,Eric Johnson,Mayor,2023-04-04,2023-06-21,346
13,Gay Donnell Willis,Councilmember,2023-04-04,2023-06-21,346
5,Jaime Resendez,Councilmember,2023-04-04,2023-06-21,346
11,Jaynie Shultz,Councilmember,2023-04-04,2023-06-21,346
2,Jesse Moreno,Councilmember,2023-04-04,2023-06-21,346
10,Kathy Stewart,Councilmember,2023-06-14,2023-06-21,85
6,Omar Narvaez,Deputy Mayor Pro Tem,2023-04-04,2023-06-21,346
14,Paul Ridley,Councilmember,2023-04-04,2023-06-21,346
9,Paula Blackmon,Councilmember,2023-04-04,2023-06-21,346
8,Tennell  Atkins,Mayor Pro Tem,2023-06-14,2023-06-21,85
8,Tennell Atkins,Councilmember,2023-04-04,2023-06-14,261
3,Zarin Gracey,Councilmember,2023-06-14,2023-06-21,85
